1135
qstr_Breaking_camp... Breaking_camp...
qstr_{!}{s17} {!}{s17}
qstr_{!}Victory_comment._ {!}Victory_comment._Player_was_alone
qstr_{!}Ordinary_victory_ {!}Ordinary_victory_comment._The_player_provided_at_least_40_percent_forces.
qstr_{!}Player_participat {!}Player_participation_comment._The_enemy_had_at_least_1k_starting_strength.
qstr_{!}No_victory_commen {!}No_victory_comment._The_battle_was_small,_and_the_player_provided_less_than_40_percent_of_allied_strength
qstr_Some_of_your_tendons Some_of_your_tendons_have_been_damaged_in_the_battle._You_lose_1_strength.
qstr_You_took_a_nasty_wou You_took_a_nasty_wound_which_will_cause_you_to_limp_slightly_even_after_it_heals._You_lose_1_agility.
qstr_You_have_trouble_thi You_have_trouble_thinking_straight_after_the_battle,_perhaps_from_a_particularly_hard_hit_to_your_head,_and_frequent_headaches_now_plague_your_existence._Your_intelligence_is_reduced_by_1.
qstr_Perhaps_I_m_getting_ Perhaps_I'm_getting_unlucky...
qstr_Retirement_is_starti Retirement_is_starting_to_sound_better_and_better.
qstr_No_matter!_I_will_pe No_matter!_I_will_persevere!
qstr_What_did_I_do_to_des What_did_I_do_to_deserve_this?
qstr_I_suppose_it_ll_make I_suppose_it'll_make_for_a_good_story,_at_least...
qstr_{s8}_of_{s9} {s8}_of_{s9}
qstr__Your_own_banner_fli _Your_own_banner_flies_over_the_castle_gate.
qstr__You_see_the_banner_ _You_see_the_banner_of_{s7}_over_the_castle_gate.
qstr__Your_own_banner_flie _Your_own_banner_flies_over_the_town_gates.
qstr__You_see_the_banner_o _You_see_the_banner_of_{s7}_over_the_town_gates.
qstr_The_{reg6?town_s:cas The_{reg6?town's:castle's}_food_stores_should_last_for_{reg3}_more_days.
qstr_The_{reg6?town_s:cast The_{reg6?town's:castle's}_food_stores_have_run_out_and_the_defenders_are_starving.
qstr_You_re_preparing_to_ You're_preparing_to_attack_the_walls,_the_work_should_finish_in_{reg9}_hours.
qstr_Your_forces_are_buil Your_forces_are_building_a_siege_tower._They_estimate_another_{reg9}_hours_to_complete_the_build.
qstr_You_are_ready_to_att You_are_ready_to_attack_the_walls_at_any_time.
qstr_The_siege_tower_is_b The_siege_tower_is_built_and_ready_to_make_an_assault.
qstr_As_a_last_defensive_ As_a_last_defensive_effort,_you_retreat_to_the_main_hall_of_the_keep._You_and_your_remaining_soldiers_will_put_up_a_desperate_fight_here._If_you_are_defeated,_there's_no_other_place_to_fall_back_to.
qstr_You_ve_been_driven_a You've_been_driven_away_from_the_walls._Now_the_attackers_are_pouring_into_the_streets._IF_you_can_defeat_them,_you_can_perhaps_turn_the_tide_and_save_the_day.
qstr_You_ve_breached_the_ You've_breached_the_town_walls,_but_the_stubborn_defenders_continue_to_resist_you_in_the_streets!_You'll_have_to_deal_with_them_before_you_can_attack_the_keep_at_the_heart_of_the_town.
qstr_The_town_centre_is_y The_town_centre_is_yours,_but_the_remaining_defenders_have_retreated_to_the_castle._It_must_fall_before_you_can_complete_your_victory.
qstr_The_remaining_defend The_remaining_defenders_have_retreated_to_the_castle_as_a_last_defense._You_must_go_in_and_crush_any_remaining_resistance.
qstr_However_since_you_a However,_since_you_are_not_a_sworn_{man/follower}_of_{s9},_there_is_no_chance_he_would_recognize_you_as_the_{lord/lady}_of_this_{reg8?town:castle}.
qstr_The_enemy_has_been_f The_enemy_has_been_forced_to_retreat._The_assault_is_over,_but_the_siege_continues.
qstr_As_you_approach_you As_you_approach,_you_are_spotted_by_the_castle_guards,_who_welcome_you_and_open_the_gates_for_their_{king/queen}.
qstr_As_you_approach_you_ As_you_approach,_you_are_spotted_by_the_castle_guards,_who_welcome_you_and_open_the_gates_for_their_{lord/lady}.
qstr_{!}Prosperity:_{reg4 {!}Prosperity:_{reg4}
qstr__This_village_and_th _This_village_and_the_surrounding_lands_belong_to_you.
qstr__You_remember_that_t _You_remember_that_this_village_and_the_surrounding_lands_belong_to_{s7}.
qstr__These_lands_belong_ _These_lands_belong_to_no_one.
qstr_{!}_{s3}__{reg9}_. {!}_{s3}_({reg9}).
qstr__The_village_is_infe _The_village_is_infested_by_{reg8}_{s35}.
qstr__The_village_has_bee _The_village_has_been_looted._A_handful_of_souls_scatter_as_you_pass_through_the_burnt_out_houses.
qstr__The_village_is_bein _The_village_is_being_raided.
qstr_No_one_here_seems_to No_one_here_seems_to_be_willing_to_join_your_party.
qstr_One_{s3}_volunteers_ One_{s3}_volunteers_to_follow_you.
qstr_{reg5}_{s3}_voluntee {reg5}_{s3}_volunteer_to_follow_you.
qstr_Try_as_you_might_yo Try_as_you_might,_you_could_not_defeat_the_bandits._Infuriated,_they_raze_the_village_to_the_ground_to_punish_the_peasants,_and_then_leave_the_burning_wasteland_behind_to_find_greener_pastures_to_plunder.
qstr_castle castle
qstr_{!}{s0} {!}{s0}
qstr_{!}{s18}_{s0} {!}{s18},_{s0}
qstr_The_{s17}_has_no_imp The_{s17}_has_no_improvements.
qstr_The_{s17}_has_the_fo The_{s17}_has_the_following_improvements:{s18}.
qstr_The_assasins_beat_yo The_assasins_beat_you_down_and_leave_you_for_dead._.
qstr_You_have_fallen._The You_have_fallen._The_bandits_quickly_search_your_body_for_every_coin_they_can_find,_then_vanish_into_the_night._They_have_left_you_alive,_if_only_barely.
qstr_Luckily_some_of_your Luckily_some_of_your_companions_come_to_search_for_you_when_you_do_not_return,_and_find_you_lying_by_the_side_of_the_road._They_hurry_you_to_safety_and_dress_your_wounds.
qstr_Luckily_some_passing Luckily_some_passing_townspeople_find_you_lying_by_the_side_of_the_road,_and_recognise_you_as_something_other_than_a_simple_beggar._They_carry_you_to_the_nearest_inn_and_dress_your_wounds.
qstr_You_fail_to_steal_an You_fail_to_steal_any_cattle.
qstr_You_drive_away_{reg1 You_drive_away_{reg17}_{reg12?heads:head}_of_cattle_from_the_village's_herd.
qstr_{!}DEBUG____Prosperi {!}DEBUG_--_Prosperity:_{reg4}
qstr_You_are_at_{s2}. You_are_at_{s2}.
qstr__This_castle_has_no_ _This_castle_has_no_garrison.
qstr__This_town_has_no_ga _This_town_has_no_garrison.
qstr__You_have_successful _You_have_successfully_sneaked_in.
qstr_{s13}_A_tournament_w {s13}_A_tournament_will_be_held_here_soon.
qstr_{!}DEBUG___Current_t {!}DEBUG_-_Current_town_is_{s3},_but_also_checking_{s4}
qstr___{reg1}_denars_per_ _({reg1}_denars_per_night)
qstr_Mais_vous_etes_invit Mais_vous_etes_invité_au_banquet_qui_si_déroule_au_chateau
qstr_Vous_etes_aussi_invi Vous_etes_aussi_invité_au_banquet_qui_si_déroule_au_chateau
qstr_Moreover_you_earn_{ Moreover,_you_earn_{reg8}_denars_from_the_clever_bets_you_placed_on_yourself...
qstr_Les_frais_de_l_inscr Les_frais_de_l'inscription_au_tournoi_et_de_location_de_l'équipement_s'élèvent_a_{reg5}_écus._Le_prix_au_vainqueur_est_de_{reg6}_écus_ainsi_qu'un_objet_de_valeur.
qstr_Victory_is_yours!_Yo Victory_is_yours!_You_have_won_this_melee,_but_now_you_must_prepare_yourself_for_the_next_round._
qstr_You_have_been_bested You_have_been_bested_in_this_melee,_but_the_master_of_ceremonies_declares_a_recognition_of_your_skill_and_bravery,_allowing_you_to_take_part_in_the_next_round._
qstr_Vous_êtes_au_tour_1 Vous_êtes_au_tour_1_du_tournoi_dans_le_groupe_A._Il_reste_16_participants_encore_en_lice.^Prochain_combat:^Groupe_A:_{s30}_contre_{s31}.
qstr_Vous_êtes_au_tour_2 Vous_êtes_au_tour_2_du_tournoi_et_vous_restez_invaincu_dans_le_groupe_A._Il_reste_14_participants_encore_en_lice.^Prochain_combat:^Groupe_A:_{s30}_contre_{s31}.
qstr_Vous_êtes_au_tour_3 Vous_êtes_au_tour_3_du_tournoi_et_vous_restez_invaincu_dans_le_groupe_A._Il_reste_12_participants_encore_en_lice.^Prochain_combat:^Groupe_A:_{s30}_contre_{s31}.
qstr_Vous_êtes_au_tour_4 Vous_êtes_au_tour_4_du_tournoi_et_vous_restez_invaincu_dans_le_groupe_A._Il_reste_10_participants_encore_en_lice.^Prochain_combat:^Groupe_A:_{s30}_contre_{s31}.
qstr_Vous_êtes_au_tour_5 Vous_êtes_au_tour_5_du_tournoi_et_vous_restez_invaincu_dans_le_groupe_A._Il_reste_8_participants_encore_en_lice.^Prochain_combat:^Groupe_A:_{s30}_contre_{s31}.
qstr_Vous_êtes_au_tour_6 Vous_êtes_au_tour_6_du_tournoi_et_vous_restez_invaincu_dans_le_groupe_A._Il_reste_6_participants_encore_en_lice.^Prochain_combat:^Groupe_A:_{s30}_contre_{s31}.
qstr_Vous_êtes_au_tour_7 Vous_êtes_au_tour_7_du_tournoi_et_vous_restez_invaincu_dans_le_groupe_A._Il_reste_4_participants_encore_en_lice.^Prochain_combat:^Groupe_A:_{s30}_contre_{s31}.
qstr_Vous_êtes_en_finale Vous_êtes_en_finale_du_tournoi_et_vous_restez_invaincu_dans_le_groupe_A._Il_ne_reste_que_2_participants_encore_en_lice.^Prochain_combat:^Groupe_A:_{s30}_contre_{s31}.
qstr_Vous_êtes_au_tour_1_ Vous_êtes_au_tour_1_du_tournoi_dans_le_groupe_B._Il_reste_16_participants_encore_en_lice.^Prochain_combat:^Groupe_B:_{s30}_contre_{s31}.
qstr_Vous_êtes_au_tour_2_ Vous_êtes_au_tour_2_du_tournoi_et_vous_restez_invaincu_dans_le_groupe_B._Il_reste_14_participants_encore_en_lice.^Prochain_combat:^Groupe_B:_{s30}_contre_{s31}.
qstr_Vous_êtes_au_tour_3_ Vous_êtes_au_tour_3_du_tournoi_et_vous_restez_invaincu_dans_le_groupe_B._Il_reste_12_participants_encore_en_lice.^Prochain_combat:^Groupe_B:_{s30}_contre_{s31}.
qstr_Vous_êtes_au_tour_4_ Vous_êtes_au_tour_4_du_tournoi_et_vous_restez_invaincu_dans_le_groupe_B._Il_reste_10_participants_encore_en_lice.^Prochain_combat:^Groupe_B:_{s30}_contre_{s31}.
qstr_Vous_êtes_au_tour_5_ Vous_êtes_au_tour_5_du_tournoi_et_vous_restez_invaincu_dans_le_groupe_B._Il_reste_8_participants_encore_en_lice.^Prochain_combat:^Groupe_B:_{s30}_contre_{s31}.
qstr_Vous_êtes_au_tour_6_ Vous_êtes_au_tour_6_du_tournoi_et_vous_restez_invaincu_dans_le_groupe_B._Il_reste_6_participants_encore_en_lice.^Prochain_combat:^Groupe_B:_{s30}_contre_{s31}.
qstr_Vous_êtes_au_tour_7_ Vous_êtes_au_tour_7_du_tournoi_et_vous_restez_invaincu_dans_le_groupe_B._Il_reste_4_participants_encore_en_lice.^Prochain_combat:^Groupe_B:_{s30}_contre_{s31}.
qstr_Vous_êtes_en_finale_ Vous_êtes_en_finale_du_tournoi_et_vous_restez_invaincu_dans_le_groupe_B._Il_ne_reste_que_2_participants_encore_en_lice.^Prochain_combat:^Groupe_B:_{s30}_contre_{s31}.
qstr_{!}{s33}^{s34}^{s36} {!}{s33}^{s34}^{s36}^{s37}^{s39}^{s40}^{s41}^{s43}^{s44}^{s45}^{s46}^{s47}^{s48}^{s49}^{s50}^{s51}
qstr_{!}{s33}^{s34}^{s36}^ {!}{s33}^{s34}^{s36}^{s37}^{s39}^{s40}^{s41}^{s43}^{s44}^{s45}^{s46}^{s47}^{s48}^{s49}
qstr_{!}{s33}^{s34}^{s36}^{ {!}{s33}^{s34}^{s36}^{s37}^{s39}^{s40}^{s41}^{s43}^{s44}^{s45}^{s46}^{s47}
qstr_{!}{s33}^{s34}^{s36}^{s {!}{s33}^{s34}^{s36}^{s37}^{s39}^{s40}^{s41}^{s43}^{s44}^{s45}
qstr_{!}{s33}^{s34}^{s36}^{s3 {!}{s33}^{s34}^{s36}^{s37}^{s39}^{s40}^{s41}^{s43}
qstr_{!}{s33}^{s34}^{s36}^{s37 {!}{s33}^{s34}^{s36}^{s37}^{s39}^{s40}
qstr_{!}{s33}^{s34}^{s36}^{s37} {!}{s33}^{s34}^{s36}^{s37}
qstr_{!}{s33}^{s34} {!}{s33}^{s34}
qstr_{!}{s11}^{s12} {!}{s11}^{s12}
qstr_You_were_beaten._The You_were_beaten._The_peasants_are_heartened_by_their_success,_but_the_lesson_you_wanted_to_teach_them_probably_didn't_get_through...
qstr_After_beating_your_l After_beating_your_last_opponent,_you_explain_to_the_peasants_how_to_better_defend_themselves_against_such_an_attack._Hopefully_they'll_take_the_experience_on_board_and_will_be_prepared_next_time.
qstr_The_bandits_are_brok The_bandits_are_broken!_Those_few_who_remain_alive_and_conscious_run_off_with_their_tails_between_their_legs,_terrified_of_the_peasants_and_their_new_champion.
qstr_{s1}_s_Ship {s1}'s_Ship
qstr_{!}DEBUG___{s1} {!}DEBUG_-_{s1}
qstr_However_{reg3?You_a However,_{reg3?You_are:{s1}_is}_unable_to_find_any_trade_goods_that_would_bring_a_profit.
qstr_^Buying_{s4}_here_an ^Buying_{s4}_here_and_selling_it_at_{s5}_would_bring_a_profit_of_{reg6}_denars_per_item.{s3}
qstr_{reg3?You_find:{s1}_ {reg3?You_find:{s1}_finds}_out_the_following:^{s3}
qstr_{s2}^{reg1}_{s1}_ear {s2}^{reg1}_{s1}_earned_{reg0}_experience.
qstr_{s2}^{s1}_earned_an_ {s2}^{s1}_earned_an_additional_{reg0}_experience.
qstr_^You_earned_{reg0}_e ^You_earned_{reg0}_experience.{s2}
qstr_The_training_didn_t_ The_training_didn't_go_well_at_all.
qstr_The_training_didn_t_g The_training_didn't_go_very_well.
qstr_The_training_went_qu The_training_went_quite_well.
qstr_The_training_went_ve The_training_went_very_well.
qstr_The_training_went_pe The_training_went_perfectly.
qstr_{s13}_asked_you_to_r {s13}_asked_you_to_report_to_him_with_at_least_{reg13}_troops.
qstr_{s13}_ordered_you_to {s13}_ordered_you_to_join_the_assault_against_{s14}.
qstr_There_has_been_an_al There_has_been_an_alleged_border_incident:_{s9}
qstr_{!}{s11}{s12} {!}{s11}{s12}
qstr_{!}DEBUG____Hours_si {!}DEBUG_--_Hours_since_last_feast_started:_{reg4}
qstr_^^Note_that_so_long_ ^^Note_that_so_long_as_you_remain_marshal,_the_lords_of_the_realm_will_be_expecting_you_to_lead_them_on_campaign._So,_if_you_are_awaiting_a_feast,_either_for_a_wedding_or_for_other_purposes,_you_may_wish_to_resign_the_marshalship_by_speaking_to_your_liege.
qstr_Le_camp_Rebelle_a_é Le_camp_Rebelle_a_été_demantelé,_et_le_chemin_de_la_Citerne_es_scellé.
qstr_Personne_ici_ne_veut Personne_ici_ne_veut_rejoindre_votre_groupe.
qstr_{s3}_est_l_unique_vo {s3}_est_l'unique_volontaire_?vouloir_rejoindre_votre_groupe.
qstr_{reg5}_{s3}_souhaite {reg5}_{s3}_souhaitent_vous_suivre.
qstr___{reg1}_écus_par_n _({reg1}_écus_par_nuitée.)
qstr_You_have_deserted_a You_have_deserted,_and_are_now_wanted!
qstr_You_defeated_{reg5}_ You_defeated_{reg5}_enemies.
qstr_You_failed_to_defeat You_failed_to_defeat_any_enemy.
qstr_you_and_some_men_fro you_and_some_men_from_your_division
qstr_You_and_your_men You_and_your_men
qstr_You You
qstr_You_defeated_the_ene You_defeated_the_enemies.
qstr_You_failed_to_defeat_ You_failed_to_defeat_the_enemy.
qstr_Freelancer_Rank___{r Freelancer_Rank_-_{reg3}
qstr_Enlisted_Lord_Set_to Enlisted_Lord_Set_to_Jeanne
qstr_You_defeated_{reg5}_e You_defeated_{reg5}_enemies_and_have_impressed_your_commander.
qstr_You_will_be_followin You_will_be_following_the_Lord/Lady_you_chose_and_will_be_joining_in_battles_they_get_into.^_You_can_also_get_promoted_as_you_gain_experience._^^Lastly,_you_can_increase_the_map_speed_while_enlisted_by_pressing_the_'='_key_(next_to_the_backspace_key).
qstr_You_are_now_enlisted! You_are_now_enlisted!
qstr_{s0} {s0}
qstr_Inventory Inventory
qstr_Show_stats Show_stats
qstr_Show_item_details__ Show_item_details__
qstr_Troop_detail Troop_detail
qstr_{s1}^ {s1}^
qstr_{s1}Level:_{reg1}^ {s1}Level:_{reg1}^
qstr_{s1}Hit_Points:_{reg {s1}Hit_Points:_{reg1}
qstr_{s1}Atributes:_^___S {s1}Atributes:_^___Strength:^
qstr_{s2}^{reg1}^ {s2}^{reg1}^
qstr_{s1}___Agility: {s1}___Agility:
qstr_{s2}{reg1} {s2}{reg1}
qstr_{s1}Main_skills:_^ {s1}Main_skills:_^
qstr_{s1}___Power_Strike: {s1}___Power_Strike:^
qstr_{s2}{reg1}^ {s2}{reg1}^
qstr_{s1}___Athletics:^ {s1}___Athletics:^
qstr_{s1}___Riding:^ {s1}___Riding:^
qstr_{s2}_^ {s2}-^
qstr_{s1}___Power_Throw:^ {s1}___Power_Throw:^
qstr_{s1}___Power_Draw:^^ {s1}___Power_Draw:^^
qstr_{s2}{reg1}^^ {s2}{reg1}^^
qstr_{s2}_^^ {s2}-^^
qstr_{s1}Weapons:^ {s1}Weapons:^
qstr_{s1}___One_Handed:^ {s1}___One_Handed:^
qstr_{s1}___Two_Handed:^ {s1}___Two_Handed:^
qstr_{s1}___Polearms:^ {s1}___Polearms:^
qstr_{s1}___Archery:^ {s1}___Archery:^
qstr_{s1}___Crossbow:^ {s1}___Crossbow:^
qstr_{s1}___Throwing:^ {s1}___Throwing:^
qstr_{s1}___Slings: {s1}___Slings:
qstr_{s2}_ {s2}-
qstr__Click_on_the_troop_ (Click_on_the_troop_to_rotate_it)^^Click_on_pieces_of_gear_^(helmet,_armor,_gloves_and_boots)^_to_display_them.
qstr_Troop_Tree Troop_Tree
qstr_From_Troop:_ From_Troop:_
qstr_{s1}_or_{s2} {s1}_or_{s2}
qstr__Click_on_a_unit_for (Click_on_a_unit_for_details)
qstr_{reg1}_{reg2} {reg1},_{reg2}
qstr_French_Noble_Line French_Noble_Line
qstr_English_Noble_Line English_Noble_Line
qstr_Burgandy_Noble_Line Burgandy_Noble_Line
qstr_Breton_Noble_Line Breton_Noble_Line
qstr_{!}DEBUG_:_Doing_scr {!}DEBUG_:_Doing_script_update_party_creation_random_limits
qstr_{s1}_of_the_{s3}_was {s1}_of_the_{s3}_was_defeated_in_battle_but_managed_to_escape.
qstr_Quest_Imposed! Quest_Imposed!
qstr_Impose_Quest_Cleared Impose_Quest_Cleared!
qstr_You_set_forth_on_you You_set_forth_on_your_mission.
qstr_You_have_{reg0}_days_le You_have_{reg0}_days_left_on_your_mission.
qstr_{s5} {s5}
qstr_Days_until_next_payd Days_until_next_payday:_{reg21}
qstr_Level_{reg2}___Requi Level_{reg2}_-_Required_{reg3}
qstr_Cur_Level___{reg4} Cur_Level_-_{reg4}
qstr_Upgrade_Troop_Level_ Upgrade_Troop_Level_-_{reg5}
qstr_Level_Boundary_of_{r Level_Boundary_of_{reg4}_-_{reg6}
qstr_Level_Boundary_of_{re Level_Boundary_of_{reg5}_-_{reg7}
qstr_Cur_Level_minus_1___ Cur_Level_minus_1_-_{reg4}
qstr_Cur_XP_{reg2}___Requ Cur_XP_{reg2}_-_Required_{reg3}
qstr_Upgrade_Troop_Level_m Upgrade_Troop_Level_minus__4_-_{reg5}
qstr_Freelancer:_Promotio Freelancer:_Promotion_/_Levelling_Type:_
qstr_Simple Simple
qstr_Advanced Advanced
qstr_Simple__Easy_ Simple_(Easy)
qstr_Advanced__Hard_ Advanced_(Hard)
qstr_Infantry_Division_Se Infantry_Division_Sergeant
qstr_Current_rank:_Infant Current_rank:_Infantry_Division_Sergeant_for_{s5}
qstr_Ranged_Division_Serg Ranged_Division_Sergeant
qstr_Current_rank:_Ranged Current_rank:_Ranged_Division_Sergeant_for_{s5}
qstr_Infantry_Division_Ca Infantry_Division_Captain
qstr_Current_rank:_Infantr Current_rank:_Infantry_Division_Captain_for_{s5}
qstr_Ranged_Division_Capt Ranged_Division_Captain
qstr_Current_rank:_Ranged_ Current_rank:_Ranged_Division_Captain_for_{s5}
qstr_Enlisted_Lord_Set_to_ Enlisted_Lord_Set_to_Jeanne_-_Now_a_Sarge
qstr_Current_Service_XP_= Current_Service_XP_=_{reg10}
qstr_Can_upgrade Can_upgrade
qstr_Cant_Upgrade Cant_Upgrade
qstr_Division_Sergeant Division_Sergeant
qstr_Division_Captain Division_Captain
qstr_{reg1}_Path_1_troop {reg1}_Path_1_troop
qstr_{reg1}_Path_1_troop_ {reg1}_Path_1_troop_--_{reg2}_Path2_Troop
qstr_{reg0}_Troops_added {reg0}_Troops_added
qstr_Ranged_Division_Serge Ranged_Division_Sergeants
qstr_A_modified_shield_o A_modified_shield,_or_an_improved_crossbow
qstr_Infantry_Division_Ser Infantry_Division_Sergeants
qstr_A_modified_shield_or A_modified_shield,_or_an_improved_bastard_sword
qstr_Attempting_to_Trigge Attempting_to_Trigger_{s1}._Failed
qstr_Enlisted_Lord_Set_to_J Enlisted_Lord_Set_to_Jeanne,_Player_now_French_Sergeant
qstr_You_are_given_new_tr You_are_given_new_troops_under_your_command
qstr_a_coat_of_plates_fit a_coat_of_plates_fit_for_a_Lord,_or_an_{s7}
qstr_a_coat_of_plates_fit_ a_coat_of_plates_fit_for_a_Lord,_or_a_{s7}
qstr_You_have_{reg0}_days_lef You_have_{reg0}_days_left_on_your_leave.
qstr__I_ve_heard_that_you _I've_heard_that_you_were_already_an_officer_under_{s4}._However,_you_will_have_to_earn_my_trust._So_for_now,_
qstr__ _
qstr__I_ve_heard_that_you_ _I've_heard_that_you_were_already_an_officer_under_{s4}._However,_you_will_have_to_earn_my_trust_and_that_of_my_men._So_for_now,_
qstr_Allow_Player_Permane Allow_Player_Permanent_DEATH:_
qstr_Allow_Player_Injurie Allow_Player_Injuries:_
qstr_Simply_pass_near_{s1 Simply_pass_near_{s13}
qstr_Simply_pass_near_{s13 Simply_pass_near_{s13}_and_{s14}
qstr_Simply_pass_near_{s13} Simply_pass_near_{s13},_{s14},_and_{s15}
qstr_{s13} {s13}
qstr_{s13}_and_{s14 {s13}_and_{s14
qstr_{s13}_{s14}_and_{s1 {s13},_{s14}_and_{s15}
qstr_{s9}_asked_you_to_sco {s9}_asked_you_to_scout_{s5},_then_report_back.
qstr_{s9}_asked_you_to_scou {s9}_asked_you_to_scout_{s7},_then_report_back.
qstr_{s13}_and_{s14} {s13}_and_{s14}
qstr_{reg6}_Freelancer_Ra {reg6}_Freelancer_Rank
qstr_{s13}_TRIGGERED {s13}_TRIGGERED
qstr_{s13}_and_{s14}_TRIG {s13}_and_{s14}_TRIGGERED
qstr_{s13}_{s14}_and_{s15 {s13},_{s14}_and_{s15}_TRIGGERED
qstr_{playername}_when_we {playername},_when_we_started_our_long_walk,_few_people_had_the_courage_to_support_me.________And_fewer_still_would_be_willing_to_put_their_lives_at_risk_for_my_cause.________But_you_didn't_hesitate_for_a_moment_in_throwing_yourself_at_my_enemies.________We_have_gone_through_a_lot_together,_and_there_were_times_I_came_close_to_losing_all_hope.________But_with_God's_help,_we_prevailed._It_is_now_time_for_me_to_leave_your_company_and_take_what's_rightfully_mine.________From_now_on,_I_will_carry_out_the_great_responsibility_of_ruling_{s3}.________There_still_lie_many_challanges_ahead_and_I_count_on_your_help_in_overcoming_those.______And_of_course,_you_will_always_remain_as_my_foremost_vassal.
qstr_You_are_challenging_m You_are_challenging_me_to_a_duel?_How_droll!________As_you_wish,_{playername},_it_will_be_good_sport_to_bash_your_head_in.
qstr_What_do_you_say_to_en What_do_you_say_to_entering_the_service_of_{s9}_as_a_mercenary_captain?________I_have_no_doubt_that_you_would_be_up_to_the_task.
qstr_{s11}_gave_you_a_fake {s11}_gave_you_a_fake_letter_to_fool_{s13}_into_banishing_his_vassal_{s16}.________You_are_to_go_near_{s14},_give_the_letter_to_one_of_your_{s15}_and_send_him_into_the_town_as_a_messenger,______believing_his_orders_to_be_genuine.
qstr_Then_take_it_with_my Then_take_it,_with_my_eternal_thanks._You_are_a_noble_{man/woman}.______I_will_never_forget_that_you_helped_me_in_my_time_of_need.
qstr_Forgive_me_{playerna Forgive_me,_{playername},_but_I_must_insist_you_accept_it.________The_money_means_little_to_me,_and_I_owe_you_so_much.______Here,_take_it,_and_let_us_speak_no_more_of_this.
qstr_{playername}_what_a_ {playername},_what_a_dear_{man/woman}_you_are,________but_I_will_not_allow_you_to_refuse_this._I_owe_you_far_more_than_I_can_say,______and_I_am_sure_you_can_put_this_money_to_far_better_use_than_I.
qstr_Guildmaster_of_{s4}_g Guildmaster_of_{s4}_gave_you_{reg12}_denars_to_pay_the_ransom_of_a_girl_kidnapped_by_bandits.________You_are_to_meet_the_bandits_near_{s3}_and_pay_them_the_ransom_fee.______After_that_you_are_to_bring_the_girl_back_to_{s4}.
qstr_Guildmaster_of_{s4}_pr Guildmaster_of_{s4}_promised_you_{reg12}_denars_if_you_can_make_sure_that________{s12}_and_{s13}_no_longer_pose_a_threat_to_a_peace_settlement_between_{s15}_and_{s14}.______In_order_to_do_that,_you_must_either_convince_them_or_make_sure_they_fall_captive_and_remain_so_until_a_peace_agreement_is_made.
qstr_{reg20?We_mostly_prod {reg20?We_mostly_produce_{s5}_here:We_don't_produce_much_here_these_days}.______If_you_would_like_to_learn_more,_you_can_speak_with_our_{reg4?guildmaster:village_elder}._He_is_nearby,_right_over_there.
qstr_You_came_into_the_wor You_came_into_the_world_a_{reg3?daughter:son}_of_declining_nobility,____________owning_only_the_house_in_which_they_lived._However,_despite_your_family's_hardships,__________they_afforded_you_a_good_education_and_trained_you_from_childhood_for_the_rigors_of_aristocracy_and_life_at_court.
qstr_You_were_born_the_{re You_were_born_the_{reg3?daughter:son}_of_travelling_merchants,____________always_moving_from_place_to_place_in_search_of_a_profit._Although_your_parents_were_wealthier_than_most____________and_educated_you_as_well_as_they_could,_you_found_little_opportunity_to_make_friends_on_the_road,__________living_mostly_for_the_moments_when_you_could_sell_something_to_somebody.
qstr_As_a_child_your_fami As_a_child,_your_family_scrabbled_out_a_meagre_living_from_your_father's_wages____________as_a_guardsman_to_the_local_lord._It_was_not_an_easy_existence,_and_you_were_too_poor_to_get_much_of_an__________education._You_learned_mainly_how_to_defend_yourself_on_the_streets,_with_or_without_a_weapon_in_hand.
qstr_You_were_the_{reg3?da You_were_the_{reg3?daughter:son}_of_a_family_who_lived_off_the_woods,____________doing_whatever_they_needed_to_make_ends_meet._Hunting,_woodcutting,_making_arrows,____________even_a_spot_of_poaching_whenever_things_got_tight._Winter_was_never_a_good_time_for_your_family____________as_the_cold_took_animals_and_people_alike,_but_you_always_lived_to_see_another_dawn,__________though_your_brothers_and_sisters_might_not_be_so_fortunate.
qstr_You_were_a_child_of_t You_were_a_child_of_the_steppe,_born_to_a_tribe_of_wandering_nomads_who_lived____________in_great_camps_throughout_the_arid_grasslands.____________Like_the_other_tribesmen,_your_family_revered_horses_above_almost_everything_else,_and_they_taught_you__________how_to_ride_almost_before_you_learned_how_to_walk._
qstr_As_the_{reg3?daughter As_the_{reg3?daughter:son}_of_a_thief,_you_had_very_little_'formal'_education.____________Instead_you_were_out_on_the_street,_begging_until_you_learned_how_to_cut_purses,_cutting_purses____________until_you_learned_how_to_pick_locks,_all_the_way_through_your_childhood.__________Still,_these_long_years_made_you_streetwise_and_sharp_to_the_secrets_of_cities_and_shadowy_backways.
qstr_As_a_{reg3?girl:boy}_grow As_a_{reg3?girl:boy}_growing_out_of_childhood,____________you_were_sent_to_live_in_the_court_of_one_of_the_nobles_of_the_land.____________There,_your_first_lessons_were_in_humility,_as_you_waited_upon_the_lords_and_ladies_of_the_household.____________But_from_their_chess_games,_their_gossip,_even_the_poetry_of_great_deeds_and_courtly_love,_you_quickly_began_to_learn_about_the_adult_world_of_conflict__________and_competition._You_also_learned_from_the_rough_games_of_the_other_children,_who_battered_at_each_other_with_sticks_in_imitation_of_their_elders'_swords.
